@RELATION dow_jones_index.data

@ATTRIBUTE ﻿quarter REAL
@ATTRIBUTE stock {AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,KRFT,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UTX,VZ,WMT,XOM}
@ATTRIBUTE date {1/14/2011,1/21/2011,1/28/2011,1/7/2011,2/11/2011,2/18/2011,2/25/2011,2/4/2011,3/11/2011,3/18/2011,3/25/2011,3/4/2011,4/1/2011,4/15/2011,4/21/2011,4/29/2011,4/8/2011,5/13/2011,5/20/2011,5/27/2011,5/6/2011,6/10/2011,6/17/2011,6/24/2011,6/3/2011}
@ATTRIBUTE open REAL
@ATTRIBUTE high REAL
@ATTRIBUTE low REAL
@ATTRIBUTE close REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE percent_change_price REAL
@ATTRIBUTE next_weeks_open REAL
@ATTRIBUTE next_weeks_close REAL
@ATTRIBUTE percent_change_next_weeks_price REAL
@ATTRIBUTE days_to_next_dividend REAL
@ATTRIBUTE percent_return_next_dividend {0.07,0.08,0.09,0.1,0.16,0.17,0.18,0.19,0.2,0.27,0.28,0.29,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.5,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.09,1.1,1.11,1.12,1.13,1.15,1.16,1.17,1.18,1.19,1.27,1.29,1.3,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.38,1.39,1.4,1.41,1.42,1.49,1.51,1.52,1.53,1.54,1.56}

@DATA
1,AA,1/7/2011,15.82,16.72,15.78,16.42,239655616,3.79267,16.71,15.97,-4.42849,26,0.18
1,AA,1/14/2011,16.71,16.71,15.64,15.97,242963398,-4.42849,16.19,15.79,-2.47066,19,0.19
1,AA,1/21/2011,16.19,16.38,15.6,15.79,138428495,-2.47066,15.87,16.13,1.63831,12,0.19
1,AA,1/28/2011,15.87,16.63,15.82,16.13,151379173,1.63831,16.18,17.14,5.93325,5,0.19
1,AA,2/4/2011,16.18,17.39,16.18,17.14,154387761,5.93325,17.33,17.37,0.230814,97,0.18
1,AA,2/11/2011,17.33,17.48,16.97,17.37,114691279,0.230814,17.39,17.28,-0.632547,90,0.17
1,AA,2/18/2011,17.39,17.68,17.28,17.28,80023895,-0.632547,16.98,16.68,-1.76678,83,0.17
1,AA,2/25/2011,16.98,17.15,15.96,16.68,132981863,-1.76678,16.81,16.58,-1.36823,76,0.18
1,AA,3/4/2011,16.81,16.94,16.13,16.58,109493077,-1.36823,16.58,16.03,-3.31725,69,0.18
1,AA,3/11/2011,16.58,16.75,15.42,16.03,114332562,-3.31725,15.95,16.11,1.00313,62,0.19
1,AA,3/18/2011,15.95,16.33,15.43,16.11,130374108,1.00313,16.38,17.09,4.33455,55,0.19
1,AA,3/25/2011,16.38,17.24,16.26,17.09,95550392,4.33455,17.13,17.47,1.98482,48,0.18
1,AXP,1/7/2011,43.3,45.6,43.11,44.36,45102042,2.44804,44.2,46.25,4.63801,89,0.41
1,AXP,1/14/2011,44.2,46.25,44.01,46.25,25913713,4.63801,46.03,46,-0.0651749,82,0.39
1,AXP,1/21/2011,46.03,46.71,44.71,46,38824728,-0.0651749,46.05,43.86,-4.7557,75,0.39
1,AXP,1/28/2011,46.05,46.27,43.42,43.86,51427274,-4.7557,44.13,43.82,-0.70247,68,0.41
1,AXP,2/4/2011,44.13,44.23,43.15,43.82,39501680,-0.70247,43.96,46.75,6.34668,61,0.41
1,AXP,2/11/2011,43.96,46.79,43.88,46.75,43746998,6.34668,46.42,45.53,-1.91728,54,0.39
