 top-left-square, top-middle-square, top-right-square, middle-left-square, middle-middle-square, middle-right-square, bottom-left-square, bottom-middle-square, bottom-right-square, Class,,
x,x,x,x,o,o,x,o,o,TRUE,,
x,x,x,x,o,o,o,x,o,TRUE,,
x,x,x,x,o,o,o,o,x,TRUE,,
x,x,x,x,o,o,o,b,b,TRUE,,
x,x,x,x,o,o,b,o,b,TRUE,,
x,x,x,x,o,o,b,b,o,TRUE,,
x,x,x,x,o,b,o,o,b,TRUE,,
x,x,x,x,o,b,o,b,o,TRUE,,
x,x,x,x,o,b,b,o,o,TRUE,,
x,x,x,x,b,o,o,o,b,TRUE,,
x,x,x,x,b,o,o,b,o,TRUE,,
x,x,x,x,b,o,b,o,o,TRUE,,
x,x,x,o,x,o,x,o,o,TRUE,,
x,x,x,o,x,o,o,x,o,TRUE,,
x,x,x,o,x,o,o,o,x,TRUE,,
x,x,x,o,x,o,o,b,b,TRUE,,
x,x,x,o,x,o,b,o,b,TRUE,,
x,x,x,o,x,o,b,b,o,TRUE,,
x,x,x,o,x,b,o,o,b,TRUE,,
x,x,x,o,x,b,o,b,o,TRUE,,
x,x,x,o,x,b,b,o,o,TRUE,,
x,x,x,o,o,x,x,o,o,TRUE,,
x,x,x,o,o,x,o,x,o,TRUE,,
x,x,x,o,o,x,o,o,x,TRUE,,
x,x,x,o,o,x,o,b,b,TRUE,,
x,x,x,o,o,x,b,o,b,TRUE,,
x,x,x,o,o,x,b,b,o,TRUE,,
x,x,x,o,o,b,x,o,b,TRUE,,
x,x,x,o,o,b,x,b,o,TRUE,,
x,x,x,o,o,b,o,x,b,TRUE,,
x,x,x,o,o,b,o,b,x,TRUE,,
x,x,x,o,o,b,b,x,o,TRUE,,
x,x,x,o,o,b,b,o,x,TRUE,,
x,x,x,o,o,b,b,b,b,TRUE,,
x,x,x,o,b,x,o,o,b,TRUE,,
x,x,x,o,b,x,o,b,o,TRUE,,
x,x,x,o,b,x,b,o,o,TRUE,,
x,x,x,o,b,o,x,o,b,TRUE,,
x,x,x,o,b,o,x,b,o,TRUE,,
x,x,x,o,b,o,o,x,b,TRUE,,
x,x,x,o,b,o,o,b,x,TRUE,,
x,x,x,o,b,o,b,x,o,TRUE,,
x,x,x,o,b,o,b,o,x,TRUE,,
x,x,x,o,b,o,b,b,b,TRUE,,
x,x,x,o,b,b,x,o,o,TRUE,,
x,x,x,o,b,b,o,x,o,TRUE,,
x,x,x,o,b,b,o,o,x,TRUE,,
x,x,x,o,b,b,o,b,b,TRUE,,
x,x,x,o,b,b,b,o,b,TRUE,,
x,x,x,o,b,b,b,b,o,TRUE,,
x,x,x,b,x,o,o,o,b,TRUE,,
x,x,x,b,x,o,o,b,o,TRUE,,
x,x,x,b,x,o,b,o,o,TRUE,,
