@RELATION data

@ATTRIBUTE 50daymovingaverage REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE market/bookratio REAL
@ATTRIBUTE p/e REAL
@ATTRIBUTE debt/equityratio REAL
@ATTRIBUTE freecashflowyield REAL
@ATTRIBUTE class {FALSE,TRUE}

@DATA
1.182069,133949200,4.099670559,3.50681397,0.718622565,0.017020675,TRUE
1.075917836,128094400,3.754025566,3.211152972,0.718622565,0.018450927,TRUE
1.084943764,194580400,3.808962315,3.258145274,0.718622565,0.018207749,TRUE
0.986948877,191993200,3.479340602,2.976190416,0.718622565,0.019771233,TRUE
1.028756066,115183600,3.644151581,3.11716795,0.718622565,0.018957308,TRUE
1.006525691,126266000,3.580058463,3.062343388,0.718622565,0.019265742,TRUE
0.952564346,110387200,3.396935235,2.905701754,0.718622565,0.020204978,TRUE
0.893680838,244017200,3.193210787,2.73143806,0.718622565,0.021363662,TRUE
0.988354253,258171200,3.54343372,3.031014978,0.718622565,0.019446538,TRUE
1.022069568,97594000,3.678487109,3.146538191,0.718622565,0.018796104,TRUE
1.053331632,114794400,3.806673345,3.256187313,0.718622565,0.018217753,TRUE
1.075954148,149410800,3.902813021,3.338424156,0.718622565,0.01780682,TRUE
1.142052115,457783200,4.156896277,3.555764232,0.718622565,0.016805003,FALSE
1.115174142,123981200,4.076780125,3.487233739,0.718622565,0.017108502,TRUE
1.06130605,110219200,3.891367926,3.328634145,0.718622565,0.017854765,TRUE
1.116776576,124286400,4.111115898,3.516604189,0.718622565,0.016977098,TRUE
1.092006013,91789600,4.035577441,3.451989408,0.718622565,0.017268897,TRUE
1.085722754,85036000,4.028710286,3.446115318,0.718622565,0.017295922,TRUE
1.00099733,105837200,3.721979008,3.183740691,0.718622565,0.018595805,TRUE
1.019217761,175420000,3.79980619,3.250313223,0.718622565,0.018247833,TRUE
0.982782899,79508800,3.671619955,3.140664101,0.718622565,0.018828126,TRUE
0.967481385,116048800,3.618972176,3.095629759,0.718622565,0.019077293,TRUE
1.009034287,118798400,3.783782911,3.236607083,0.718622565,0.018318406,TRUE
1.051696243,106330000,3.955461044,3.383458706,0.718622565,0.017589545,TRUE
1.106556916,110266800,4.177497986,3.573386711,0.718622565,0.016728691,TRUE
1.110171592,102160800,4.207255574,3.598841031,0.718622565,0.01661968,FALSE
1.084640423,74841200,4.124849718,3.528351951,0.718622565,0.016925101,TRUE
1.089787388,75745600,4.156896277,3.555764232,0.718622565,0.016805003,FALSE
1.043040393,53062800,3.982929418,3.406954857,0.718622565,0.017478276,FALSE
1.109580874,91884800,4.241591103,3.628211272,0.718622565,0.016495651,FALSE
1.139246565,121436000,4.358331999,3.728070175,0.718622565,0.016087456,FALSE
1.092968149,94561600,4.179786956,3.575344671,0.718622565,0.016720255,FALSE
1.100770231,72374400,4.207255574,3.598841031,0.718622565,0.01661968,FALSE
1.065791703,58360400,4.074491155,3.485275779,0.718622565,0.017117335,FALSE
1.088554908,105574000,4.168341616,3.565554452,0.718622565,0.016762522,FALSE
1.109057333,118274800,4.257614383,3.641917413,0.718622565,0.016438402,FALSE
1.09568241,94108000,4.219273034,3.609120637,0.718622565,0.016576058,FALSE
1.046676705,62286000,4.042444596,3.457863498,0.718622565,0.017241956,FALSE
1.070640417,82082000,4.147740397,3.547932391,0.718622565,0.016839141,FALSE
1.080307356,92240400,4.198099205,3.591008772,0.718622565,0.016653071,FALSE
1.221180015,269250800,4.772648294,4.082471864,0.718622565,0.014788675,FALSE
1.138162565,77814800,4.468205985,3.822055198,0.718622565,0.015721307,FALSE
1.188483132,80841600,4.687953957,4.010025242,0.718622565,0.015036832,FALSE
1.161457583,52640000,4.603259131,3.937578201,0.718622565,0.015293462,FALSE
1.13141638,68252800,4.500252544,3.849467478,0.718622565,0.015617632,FALSE
1.118685553,67807600,4.468205985,3.822055198,0.718622565,0.015721307,FALSE
1.116052902,69179600,4.477361865,3.829887039,0.718622565,0.015691546,FALSE
1.142775944,62151600,4.605548101,3.939536162,0.718622565,0.015286411,FALSE
1.098257516,75989200,4.443026336,3.800516798,0.718622565,0.015803737,FALSE
1.032182271,107144800,4.184364896,3.579260592,0.718622565,0.016703409,FALSE
1.04943342,110902400,4.257614383,3.641917413,0.718622565,0.016438402,FALSE
1.093627454,94525200,4.452182706,3.808349057,0.718622565,0.015773662,FALSE
1.120319543,76260800,4.578079971,3.91604022,0.718622565,0.015371453,FALSE
1.096889059,51122400,4.504830484,3.853383399,0.718622565,0.015602933,FALSE
1.195787272,131082000,4.942036968,4.227365109,0.718622565,0.014316147,FALSE
1.267328299,141999200,5.280815295,4.517152435,0.718622565,0.013456237,FALSE
1.231545199,140641200,5.175519249,4.427083333,0.718622565,0.013712232,FALSE
1.197915115,111728400,5.079379573,4.344846491,0.718622565,0.013954623,FALSE
1.196622871,69795600,5.111426132,4.372258772,0.718622565,0.013872879,FALSE
1.185010095,50741600,5.095402852,4.358552632,0.718622565,0.013913631,FALSE
1.151582724,59959200,4.978661956,4.258693729,0.718622565,0.014217921,FALSE
1.061828223,103600000,4.605548101,3.939536162,0.718622565,0.015286411,FALSE
1.142490555,101158400,4.974083527,4.25477739,0.718622565,0.014230126,FALSE
1.117324315,82140800,5.147276614,3.306361702,0.662396204,0.001489544,FALSE
1.063282809,165082400,4.915612828,3.157552083,0.662396204,0.001556113,FALSE
1.085573474,114416400,5.03385781,3.233506944,0.662396204,0.001521409,FALSE
1.039782161,64906800,4.833565216,3.104848663,0.662396204,0.00158114,FALSE
1.090349508,60608800,5.08694732,3.26760908,0.662396204,0.001506325,FALSE
1.030500259,53065600,4.826325948,3.100198507,0.662396204,0.001583386,FALSE
0.982102704,135455600,4.611554303,2.962239583,0.662396204,0.001653077,FALSE
0.897005934,235284000,4.218208639,2.709573342,0.662396204,0.001798014,TRUE
0.932170619,132456800,4.394369568,2.822730607,0.662396204,0.00173008,TRUE
0.915018288,166905200,4.319561481,2.774677508,0.662396204,0.001758292,TRUE
1.010541326,102390400,4.782888795,3.07229658,0.662396204,0.001597003,FALSE
1.032855488,97731200,4.898720688,3.146701389,0.662396204,0.001561201,FALSE
0.985043918,130037600,4.676709775,3.004092309,0.662396204,0.001631295,FALSE
0.965764148,180530000,4.589835984,2.948288785,0.662396204,0.001660468,FALSE
0.977853695,110905200,4.652577851,2.988591128,0.662396204,0.001639296,FALSE
1.037956412,97910400,4.954223287,3.182353576,0.662396204,0.001544608,FALSE
0.980458981,91728000,4.683949042,3.008742465,0.662396204,0.001628911,FALSE
1.023123735,81650800,4.893894509,3.143601285,0.662396204,0.00156266,FALSE
0.999826271,62395200,4.790128578,3.076947067,0.662396204,0.001594717,FALSE
1.000319342,56548800,4.799780935,3.083147274,0.662396204,0.00159168,FALSE
0.947507723,59108000,4.551225009,2.923486961,0.662396204,0.001673771,FALSE
0.924714386,122449600,4.4426329,2.853732639,0.662396204,0.001712355,FALSE
0.890350184,99878800,4.273711497,2.745225694,0.662396204,0.001776042,FALSE
0.910261358,71019200,4.367825071,2.805679705,0.662396204,0.001739986,FALSE
0.886157415,46225200,4.25199292,2.731274731,0.662396204,0.001784575,FALSE
0.84950601,81785200,4.071005813,2.615017361,0.662396204,0.001859012,FALSE
0.80213634,133772800,3.834515849,2.463107639,0.662396204,0.001966172,FALSE
0.834110825,124936000,3.969652971,2.549913194,0.662396204,0.001903473,FALSE
0.875195677,76728400,4.155466514,2.669270833,0.662396204,0.001823517,FALSE
0.824944376,169733200,3.899671321,2.504960365,0.662396204,0.001935435,FALSE
0.866060266,110112800,4.080658428,2.621217734,0.662396204,0.001854885,FALSE
0.833658827,99523200,3.914150114,2.514260842,0.662396204,0.001928734,FALSE
0.831425003,93444400,3.890018706,2.498759992,0.662396204,0.001939927,FALSE
